collection,source_rel_path,filename,file_status,curve_index,short_name,long_name,unit,samples,duration_s,min,max,mean,sample_columns,curve_metadata_keys
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,8,p I.2   a,Injection cylinder secondary,[bar],1689,80.0,2.0,237.0,114.99703966844287,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,9,p N Acc a,nitrogen pressure accu,[bar],336,80.0,117.0,135.0,125.85714285714286,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,10,s E     a,ejector stroke,[mm],236,80.0,-0.9,15.2,7.002542372881357,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,11,p Atm   a,Ambient pressure,[mbar],11,80.0,956.0,958.0,956.3636363636364,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,12,p Vac T a,Vacuum tank pressure,[mbar],5,80.0,966.0,966.0,966.0,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,13,p VacD2 a,VacD2: Vacuum pressure moving platen,[mbar],186,80.0,956.0,960.0,957.1720430107526,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153404.xml.gz,ddd_y_250908153404.xml.gz,,0,p Soll,Nominal pressure,[bar],270,80.0,3.0,210.0,129.64444444444445,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153404.xml.gz,ddd_y_250908153404.xml.gz,,1,p Sys   a,System pressure,[bar],1954,80.0,0.0,169.0,89.63408393039919,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153404.xml.gz,ddd_y_250908153404.xml.gz,,2,s L     a,die position,[mm],2881,80.0,0.0,990.695,427.5839274557445,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908153404.xml.gz,ddd_y_250908153404.xml.gz,,3,p L     a,closing pressure,[bar],3253,80.0,1.0,204.0,107.41100522594527,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
